doc_id,type,mode,text,start,end,context,category
https://doi.org/10.1080/10412905.2013.767758,ANALYTICAL TECHNIQUE,FP,GC,452,454,ion and analyzed by gas chromatography (GC) and GC–mass spectrometry (GC–MS). Sesq,
https://doi.org/10.1080/10412905.2013.767758,PLANT PART,FP,placenta,821,829,"on ex Fries) Murril (ATCC 11539), Poria placenta (Fries) Cooke sensu J. Eriksson (ATCC 9",
https://doi.org/10.1080/10412905.2013.767758,LOCATION,FN,Comoros,118,125,se and Vetiveria zizanioides growing in Comoros against fungi decay wood. For valorizat,
https://doi.org/10.1080/10412905.2013.767758,LOCATION,FN,Comoros,217,224,"rsification of medicinal plants used in Comoros, we are interested in three species gro",
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Tunisia,96,103, essential oils from four localities in Tunisia. The goal of this work was to investiga,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Gabes,389,394,he highest essential oil yields were in Gabes and Kairouan at the Arid bioclimatic zo,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Kairouan,399,407, essential oil yields were in Gabes and Kairouan at the Arid bioclimatic zone. Sixty vol,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Gabes,546,551,"pounds were limonene and spathulenol in Gabes at the Middle Arid. However, (E)-citral",
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Belli,638,643, as geranial) was the major compound of Belli and Kairouan belonging to the Upper Sem,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Kairouan,648,656,al) was the major compound of Belli and Kairouan belonging to the Upper Semi-Arid and Up,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Boussalem,800,809,he inferior sub-humid bioclimatic zone (Boussalem) had spathulenol and caryophyllene oxid,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Boussalem,1045,1054, increased from the inferior sub-humid (Boussalem) to the Upper Arid (Kairouan) bioclimat,
https://doi.org/10.1080/10412905.2024.2322592,LOCATION,FN,Kairouan,1075,1083,ub-humid (Boussalem) to the Upper Arid (Kairouan) bioclimatic areas. Independently of re,
https://doi.org/10.1080/10412905.2008.9700007,LOCATION,FN,Madagascar,83,93,nervia ) Oil Chemotype Productions from Madagascar. The chemical composition of craft and ,
https://doi.org/10.1080/10412905.2008.9700007,LOCATION,FN,Madagascar,203,213,quinquenervia) leaf essential oils from Madagascar has been investigated over ten years. S,
https://doi.org/10.1080/10412905.2008.9700007,LOCATION,FN,Madagascar,657,667, (0.1–36%). Niaouli essential oils from Madagascar were classified into three chemotypes u,
https://doi.org/10.1080/10412905.2006.9699041,LOCATION,FN,Behshahr,171,179,"ompositae) collected from the suburb of Behshahr, north of Iran, in May 2001, was isolat",
https://doi.org/10.1080/10412905.2006.9699041,LOCATION,FN,Iran,190,194,"d from the suburb of Behshahr, north of Iran, in May 2001, was isolated by hydrodist",
https://doi.org/10.1080/10412905.2006.9699041,SEASON,FN,May,199,202,"e suburb of Behshahr, north of Iran, in May 2001, was isolated by hydrodistillation",
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Spain,68,73,"el Oil, Foeniculum vulgare Miller, from Spain. The chemical composition of the volati",
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Santander,187,196,gare Miller from two Spanish locations (Santander and Aranjuez) were investigated by mean,
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Aranjuez,201,209,om two Spanish locations (Santander and Aranjuez) were investigated by means of GC and G,
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Aranjuez,293,301,. Leaf and stem oils of F. vulgare from Aranjuez were also examined. Two different chemo,
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Santander,449,458,"chone (24.6%) in the seeds collected in Santander; and (II) (E)-anethole (54.9–38.1%), fe",
https://doi.org/10.1080/10412905.2000.9699487,LOCATION,FN,Aranjuez,543,551,e (22.2–34.4%) in the seeds gathered in Aranjuez. The oil from the leaves collected in A,
